timestamp,ir_value
298969,90799
298977,90831
298985,90999
298993,91087
299001,91219
299009,91258
299017,91313
299025,91454
299033,91536
299041,91583
299049,91659
299057,91649
299065,91701
299073,91739
299081,91729
299089,91723
299097,91670
299105,91633
299113,91579
299121,91525
299129,91524
299137,91688
299145,91464
299153,91467
299161,91475
299169,91493
299177,91541
299185,91515
299919,92672
299927,92611
299935,92414
299943,92066
299951,91700
299959,91351
299967,91071
299975,90839
299983,90712
299991,90603
299999,90513
300007,90467
300015,90403
300023,90452
300031,90471
300039,90492
300047,90581
300055,90578
300063,90669
300071,90778
300079,90812
300087,90894
300095,90997
300103,91042
300111,91170
300119,91228
300127,91330
300135,91434
300143,91471
300151,91525
300159,91567
300167,91629
300175,91648
300183,91629
300191,91642
300199,91613
300207,91599
300215,91530
300223,91471
300231,91499
300239,91467
300247,91453
300255,91424
300263,91415
300271,91419
300279,91478
300287,91477
300295,91506
300303,91543
300311,91555
300319,91638
300327,91662
300335,91697
300343,91786
300351,91770
300359,91842
300367,91882
300375,91980
300383,92019
300391,92065
300399,92138
300407,92176
300415,92251
300423,92270
300431,92270
300439,92399
300447,92413
300455,92469
300463,92482
300471,92418
300479,92365
300487,92230
300495,91977
300503,91705
300511,91398
300519,91051
300527,90837
300535,90748
300543,90653
300551,90638
300559,90553
300567,90571
300575,90563
300583,90592
300591,90672
300599,90711
300607,90792
300615,90837
300623,90941
300631,91006
300639,91072
300647,91218
300655,91302
300663,91385
300671,91494
300679,90711
300687,91690
300695,91769
300703,91788
300711,91870
300719,91858
300727,91890
300735,91940
300743,91968
300751,91953
300759,91974
300767,91937
300775,91900
300783,91857
300791,91829
300799,91824
300807,91771
300815,91743
300823,91701
300831,91766
300839,91802
300847,91789
300855,91860
300863,91859
300871,91919
300879,91939
300887,91931
300895,92052
300903,92115
300911,92121
301361,91667
301369,91657
301377,91671
301385,91682
301393,91723
301401,91688
301409,91786
301417,91801
301425,91858
301433,91869
301441,91648
301449,91976
301457,91997
301465,92074
301473,92100
301481,92153
301489,92212
301497,92278
301505,92312
301513,92381
301521,92434
301529,92464
301537,92526
301545,92588
301553,92627
301561,92694
301569,92677
301577,92644
301585,92526
301593,92326
301601,91964
301609,91661
301617,91217
301625,90951
301633,90799
301641,90705
301649,90548
301657,90477
301665,90424
301673,90451
301681,90411
301689,90412
301697,90483
301705,90511
301713,90596
301721,90613
301729,90663
301737,90802
301745,90856
301753,90968
301761,91031
301769,91140
301777,91198
301785,91329
301793,91394
301801,91462
301809,91554
301817,91547
301825,91622
301833,91613
301841,91611
301849,91646
301857,91575
301865,91545
301873,91489
301881,91480
301889,91434
301897,91399
301905,91394
301913,91357
301921,91384
301929,91396
301937,91575
301945,91416
301953,91435
301961,91480
301969,91549
301977,91560
301985,91606
301993,91669
302001,91692
302009,91739
302017,91727
302025,91853
302033,91921
302041,91947
302049,92006
302057,92021
302065,92110
302073,92178
302081,92206
302089,92248
302097,92290
302105,92313
302113,92410
302121,92430
302129,92484
302137,92555
302145,92535
302153,92531
302161,92452
302169,92289
302177,92087
302185,91746
302193,91276
302201,90998
302209,90789
302217,90673
302225,90535
302233,90463
302241,90436
302249,90432
302257,90423
302265,90415
302273,90498
302281,90563
302289,90601
302297,90657
302305,90701
302313,90766
302321,90918
302329,90944
302337,91059
302345,91180
302353,91224
302666,92211
302674,92246
302682,92260
302690,92360
302698,92313
302706,92390
302714,92477
302722,92489
302730,92566
302738,92554
302746,92581
302754,92577
302762,92550
302770,92456
302778,92214
302786,91843
302794,91490
302802,91182
302810,91012
302818,92554
302826,90678
302834,90606
302842,90513
302850,90483
302858,90423
302866,90426
302874,90501
302882,90554
302890,90580
302898,90669
302906,90728
302914,90832
302922,90910
302930,90987
302938,91119
302946,91130
302954,91195
302962,91281
302970,91319
302978,91441
302986,91443
302994,91512
303002,91591
303010,91618
303018,91684
303026,91661
303034,91701
303042,91714
303050,91658
303058,91638
303066,91543
